"DATA for Gaechter, Koelle, Quercia: Reciprocity and the Tragedies of Maintaining and Providing the Commons, Nature Human Behaviour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See README for list of variable labels and Methods for further details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,session,cpp,id,groupid,mg,period,oneshot,strangers,partners,punishment,type,CC,FR,OT,c,b,c_other,lag_c_other,pgsize,pun,pun_received,pc,dev_pc,u,cc0,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20
1,5,1,67,501,501,1,1,0,0,0,3,0,0,1,5,7,12,,42,,,5,0,2,0,0,2,1,0,0,2,5,0,0,1,0,0,2,5,4,0,0,0,0,0
1,5,1,68,501,501,1,1,0,0,0,3,0,0,1,13,11,10,,42,,,0,13,16,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1,5,1,69,502,502,1,1,0,0,0,2,0,1,0,0,13,9,,26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,70,502,502,1,1,0,0,0,1,1,0,0,8,7,6,,26,,,8,0,8,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,15,16,17,18,19,20
1,5,1,71,502,502,1,1,0,0,0,1,1,0,0,5,6,7,,26,,,4,1,3,0,2,2,2,3,4,4,4,5,6,9,9,10,12,12,12,15,15,17,18,20
1,5,1,72,502,502,1,1,0,0,0,1,1,0,0,13,15,4,,26,,,15,-2,15,0,2,2,2,2,2,4,4,4,4,10,10,10,15,15,15,15,15,15,15,15
1,5,1,73,503,503,1,1,0,0,0,1,1,0,0,12,10,0,,12,,,7,5,12,0,0,0,0,1,2,3,4,5,6,7,8,9,10,12,13,14,16,18,19,20
1,5,1,74,503,503,1,1,0,0,0,1,1,0,0,0,2,4,,12,,,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,5,5,5,6,6,8,12,12
1,5,1,75,503,503,1,1,0,0,0,2,0,1,0,0,16,4,,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,76,503,503,1,1,0,0,0,1,1,0,0,0,10,4,,12,,,8,-8,0,0,0,0,0,0,1,0,5,5,5,8,0,8,8,8,8,10,10,10,10,10
1,5,1,77,504,504,1,1,0,0,0,3,0,0,1,10,8,12,,45,,,9,1,10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0,20
1,5,1,78,504,504,1,1,0,0,0,1,1,0,0,5,6,13,,45,,,5,0,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,5,1,79,504,504,1,1,0,0,0,1,1,0,0,20,18,8,,45,,,20,0,20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,20,20,20,20,20
1,5,1,80,504,504,1,1,0,0,0,3,0,0,1,10,13,12,,45,,,10,0,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0
1,6,1,81,601,601,1,1,0,0,0,2,0,1,0,0,0,13,,40,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,82,601,601,1,1,0,0,0,1,1,0,0,10,10,10,,40,,,10,0,10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6,1,83,601,601,1,1,0,0,0,1,1,0,0,15,12,8,,40,,,10,5,16,0,0,0,1,1,2,2,3,3,4,5,7,10,10,12,15,18,20,20,20,20
1,6,1,84,601,601,1,1,0,0,0,1,1,0,0,15,16,8,,40,,,17,-2,18,0,1,2,3,4,5,6,8,8,9,10,12,12,14,15,17,17,18,18,18,18
1,6,1,85,602,602,1,1,0,0,0,1,1,0,0,7,20,8,,32,,,15,-8,8,0,0,1,2,3,4,5,6,7,8,9,10,10,10,10,11,12,13,14,15,15
1,6,1,86,602,602,1,1,0,0,0,3,0,0,1,0,5,11,,32,,,10,-10,12,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,20,20,20,20,20
1,6,1,87,602,602,1,1,0,0,0,1,1,0,0,13,11,6,,32,,,5,8,12,0,1,1,1,2,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,12
1,6,1,88,602,602,1,1,0,0,0,1,1,0,0,12,14,7,,32,,,14,-2,10,0,2,3,3,4,6,6,8,8,10,10,12,12,12,14,16,17,17,17,17,17
1,6,1,89,603,603,1,1,0,0,0,3,0,0,1,10,7,8,,35,,,15,-5,10,19,18,17,17,16,16,15,15,14,14,13,12,11,10,9,9,8,8,7,7,6
1,6,1,90,603,603,1,1,0,0,0,1,1,0,0,7,8,9,,35,,,3,4,5,0,1,1,1,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5
1,6,1,91,603,603,1,1,0,0,0,1,1,0,0,10,10,8,,35,,,10,0,10,0,0,0,0,0,0,0,0,7,8,10,11,12,13,14,15,16,17,18,19,20
1,6,1,92,603,603,1,1,0,0,0,1,1,0,0,8,8,9,,35,,,5,3,8,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,17,19,20
1,6,1,93,604,604,1,1,0,0,0,1,1,0,0,6,7,2,,12,,,7,-1,8,0,0,0,3,4,5,6,7,8,9,10,10,10,10,10,10,15,15,15,20,20
1,6,1,94,604,604,1,1,0,0,0,2,0,1,0,0,4,4,,12,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,95,604,604,1,1,0,0,0,1,1,0,0,6,5,2,,12,,,4,2,8,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14,14
1,6,1,96,604,604,1,1,0,0,0,1,1,0,0,0,8,4,,12,,,2,-2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,7,1,97,701,701,1,1,0,0,0,1,1,0,0,10,7,1,,14,,,4,6,12,0,0,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,11,12,12,13
1,7,1,98,701,701,1,1,0,0,0,3,0,0,1,0,5,5,,14,,,3,-3,15,0,1,1,2,3,3,4,4,5,5,5,7,4,1,3,0,2,2,0,0,0
1,7,1,99,701,701,1,1,0,0,0,2,0,1,0,0,0,5,,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,100,701,701,1,1,0,0,0,1,1,0,0,4,8,3,,14,,,8,-4,0,0,0,2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18,20
